Edge - Vertices 	 	Weight
3212 - 2096	 	 	7
2080 - 2097	 	 	22
1417 - 2098	 	 	1
996 - 2099	 	 	8
3623 - 2100	 	 	9
473 - 2101	 	 	23
3428 - 2102	 	 	2
56 - 2103	 	 	21
4788 - 2104	 	 	26
2111 - 2105	 	 	17
2627 - 2106	 	 	8
1276 - 2107	 	 	17
1564 - 2108	 	 	12
2889 - 2109	 	 	4
4506 - 2110	 	 	6
3738 - 2111	 	 	12
2094 - 2112	 	 	12
3451 - 2113	 	 	5
3550 - 2114	 	 	11
2963 - 2115	 	 	8
2451 - 2116	 	 	1
4252 - 2117	 	 	17
929 - 2118	 	 	16
1813 - 2119	 	 	7
3850 - 2120	 	 	39
2132 - 2121	 	 	5
3750 - 2122	 	 	21
606 - 2123	 	 	20
280 - 2124	 	 	18
3532 - 2125	 	 	49
1881 - 2126	 	 	13
1183 - 2127	 	 	43
1503 - 2128	 	 	42
3565 - 2129	 	 	23
4708 - 2130	 	 	23
1135 - 2131	 	 	3
1351 - 2132	 	 	2
3290 - 2133	 	 	4
566 - 2134	 	 	19
1438 - 2135	 	 	4
4394 - 2136	 	 	2
1239 - 2137	 	 	16
2619 - 2138	 	 	16
1212 - 2139	 	 	21
128 - 2140	 	 	31
640 - 2141	 	 	3
1635 - 2142	 	 	13
4996 - 2143	 	 	10
3603 - 2144	 	 	10
3282 - 2145	 	 	21
4671 - 2146	 	 	67
621 - 2147	 	 	11
651 - 2148	 	 	5
2731 - 2149	 	 	11
3930 - 2150	 	 	21
4434 - 2151	 	 	33
3491 - 2152	 	 	12
4554 - 2153	 	 	32
2995 - 2154	 	 	10
2655 - 2155	 	 	2
2231 - 2156	 	 	15
1623 - 2157	 	 	17
3936 - 2158	 	 	83
4319 - 2159	 	 	28
4538 - 2160	 	 	23
3704 - 2161	 	 	15
1535 - 2162	 	 	13
3332 - 2163	 	 	10
1248 - 2164	 	 	42
4826 - 2165	 	 	5
297 - 2166	 	 	18
4671 - 2167	 	 	19
3254 - 2168	 	 	6
2137 - 2169	 	 	23
3182 - 2170	 	 	38
1719 - 2171	 	 	20
1178 - 2172	 	 	58
3549 - 2173	 	 	9
4135 - 2174	 	 	17
4792 - 2175	 	 	41
2988 - 2176	 	 	3
564 - 2177	 	 	12
1937 - 2178	 	 	5
7 - 2179	 	 	8
2618 - 2180	 	 	14
395 - 2181	 	 	78
2464 - 2182	 	 	21
4223 - 2183	 	 	21
1635 - 2184	 	 	14
762 - 2185	 	 	56
4353 - 2186	 	 	11
4466 - 2187	 	 	12
64 - 2188	 	 	8
1590 - 2189	 	 	19
107 - 2190	 	 	3
4659 - 2191	 	 	3
1303 - 2192	 	 	30
1804 - 2193	 	 	10
1121 - 2194	 	 	28
2953 - 2195	 	 	30
498 - 2196	 	 	14
3817 - 2197	 	 	1
3792 - 2198	 	 	28
3234 - 2199	 	 	45
1466 - 2200	 	 	47
409 - 2201	 	 	1
207 - 2202	 	 	16
1792 - 2203	 	 	12
2549 - 2204	 	 	12
99 - 2205	 	 	7
2262 - 2206	 	 	7
103 - 2207	 	 	1
627 - 2208	 	 	7
266 - 2209	 	 	5
3156 - 2210	 	 	31
2417 - 2211	 	 	6
4531 - 2212	 	 	2
189 - 2213	 	 	3
1052 - 2214	 	 	6
676 - 2215	 	 	12
1308 - 2216	 	 	7
2469 - 2217	 	 	8
1916 - 2218	 	 	26
2043 - 2219	 	 	10
3584 - 2220	 	 	11
3468 - 2221	 	 	46
4308 - 2222	 	 	15
3028 - 2223	 	 	27
3953 - 2224	 	 	4
4007 - 2225	 	 	2
1886 - 2226	 	 	22
3023 - 2227	 	 	20
1569 - 2228	 	 	20
2844 - 2229	 	 	21
447 - 2230	 	 	32
2047 - 2231	 	 	2
2289 - 2232	 	 	29
1613 - 2233	 	 	22
3812 - 2234	 	 	34
1394 - 2235	 	 	3
1238 - 2236	 	 	17
1810 - 2237	 	 	13
2609 - 2238	 	 	24
2134 - 2239	 	 	9
4708 - 2240	 	 	5
423 - 2241	 	 	24
866 - 2242	 	 	10
362 - 2243	 	 	16
3600 - 2244	 	 	113
701 - 2245	 	 	13
4407 - 2246	 	 	12
1949 - 2247	 	 	25
565 - 2248	 	 	6
1171 - 2249	 	 	27
2863 - 2250	 	 	12
517 - 2251	 	 	2
2196 - 2252	 	 	5
1290 - 2253	 	 	8
1311 - 2254	 	 	11
991 - 2255	 	 	20
2186 - 2256	 	 	20
1295 - 2257	 	 	3
318 - 2258	 	 	7
766 - 2259	 	 	7
307 - 2260	 	 	44
3890 - 2261	 	 	4
737 - 2262	 	 	6
2816 - 2263	 	 	3
3941 - 2264	 	 	18
2148 - 2265	 	 	49
2856 - 2266	 	 	29
2612 - 2267	 	 	36
4663 - 2268	 	 	22
3843 - 2269	 	 	19
4843 - 2270	 	 	30
1494 - 2271	 	 	18
2443 - 2272	 	 	22
196 - 2273	 	 	23
4321 - 2274	 	 	10
4125 - 2275	 	 	27
3910 - 2276	 	 	7
3512 - 2277	 	 	14
830 - 2278	 	 	26
3579 - 2279	 	 	9
2648 - 2280	 	 	15
3296 - 2281	 	 	13
3578 - 2282	 	 	6
1224 - 2283	 	 	17
4767 - 2284	 	 	8
959 - 2285	 	 	30
101 - 2286	 	 	8
3204 - 2287	 	 	10
1041 - 2288	 	 	3
944 - 2289	 	 	13
3767 - 2290	 	 	4
3419 - 2291	 	 	13
2670 - 2292	 	 	13
656 - 2293	 	 	17
4799 - 2294	 	 	10
2261 - 2295	 	 	17
3329 - 2296	 	 	15
4651 - 2297	 	 	10
1849 - 2298	 	 	5
318 - 2299	 	 	21
4971 - 2300	 	 	3
3739 - 2301	 	 	24
1444 - 2302	 	 	3
691 - 2303	 	 	61
2558 - 2304	 	 	22
4265 - 2305	 	 	6
3739 - 2306	 	 	10
3867 - 2307	 	 	7
244 - 2308	 	 	14
2749 - 2309	 	 	18
2228 - 2310	 	 	6
681 - 2311	 	 	27
1473 - 2312	 	 	3
3572 - 2313	 	 	9
3563 - 2314	 	 	7
2693 - 2315	 	 	4
2944 - 2316	 	 	1
4238 - 2317	 	 	34
4248 - 2318	 	 	12
1369 - 2319	 	 	8
4064 - 2320	 	 	22
2161 - 2321	 	 	32
2665 - 2322	 	 	18
4244 - 2323	 	 	3
3413 - 2324	 	 	27
1835 - 2325	 	 	10
583 - 2326	 	 	19
484 - 2327	 	 	27
3068 - 2328	 	 	16
1917 - 2329	 	 	43
3058 - 2330	 	 	2
4791 - 2331	 	 	18
3232 - 2332	 	 	3
4280 - 2333	 	 	29
4652 - 2334	 	 	13
242 - 2335	 	 	7
4314 - 2336	 	 	20
4673 - 2337	 	 	45
3241 - 2338	 	 	22
1317 - 2339	 	 	3
4815 - 2340	 	 	4
3255 - 2341	 	 	3
2548 - 2342	 	 	23
319 - 2343	 	 	12
4091 - 2344	 	 	29
2380 - 2345	 	 	14
997 - 2346	 	 	12
2472 - 2347	 	 	36
1383 - 2348	 	 	3
601 - 2349	 	 	13
2977 - 2350	 	 	52
864 - 2351	 	 	10
36 - 2352	 	 	13
3534 - 2353	 	 	3
3450 - 2354	 	 	21
2525 - 2355	 	 	17
4057 - 2356	 	 	9
1481 - 2357	 	 	10
1811 - 2358	 	 	8
2444 - 2359	 	 	7
1304 - 2360	 	 	16
716 - 2361	 	 	4
4137 - 2362	 	 	14
2032 - 2363	 	 	4
3149 - 2364	 	 	1
2328 - 2365	 	 	18
4184 - 2366	 	 	7
1430 - 2367	 	 	25
2399 - 2368	 	 	1
2970 - 2369	 	 	18
3639 - 2370	 	 	4
601 - 2371	 	 	24
3986 - 2372	 	 	9
4314 - 2373	 	 	9
2676 - 2374	 	 	19
1248 - 2375	 	 	23
2848 - 2376	 	 	15
2318 - 2377	 	 	9
2820 - 2378	 	 	2
4435 - 2379	 	 	23
4807 - 2380	 	 	5
1776 - 2381	 	 	10
4515 - 2382	 	 	36
187 - 2383	 	 	7
64 - 2384	 	 	3
4610 - 2385	 	 	25
4444 - 2386	 	 	29
57 - 2387	 	 	8
1464 - 2388	 	 	102
252 - 2389	 	 	30
2530 - 2390	 	 	27
974 - 2391	 	 	45
3363 - 2392	 	 	4
950 - 2393	 	 	9
4083 - 2394	 	 	3
4111 - 2395	 	 	13
2361 - 2396	 	 	1
2626 - 2397	 	 	22
1920 - 2398	 	 	9
1592 - 2399	 	 	8
3645 - 2400	 	 	16
3570 - 2401	 	 	4
272 - 2402	 	 	22
1294 - 2403	 	 	17
555 - 2404	 	 	32
3816 - 2405	 	 	6
420 - 2406	 	 	13
4578 - 2407	 	 	4
355 - 2408	 	 	10
1406 - 2409	 	 	18
717 - 2410	 	 	12
3828 - 2411	 	 	1
2608 - 2412	 	 	13
2873 - 2413	 	 	19
2591 - 2414	 	 	8
940 - 2415	 	 	3
4651 - 2416	 	 	9
979 - 2417	 	 	18
4412 - 2418	 	 	3
2320 - 2419	 	 	20
4352 - 2420	 	 	31
938 - 2421	 	 	26
4758 - 2422	 	 	13
2869 - 2423	 	 	6
2555 - 2424	 	 	11
1350 - 2425	 	 	13
2712 - 2426	 	 	17
1318 - 2427	 	 	11
202 - 2428	 	 	13
855 - 2429	 	 	17
3587 - 2430	 	 	13
2648 - 2431	 	 	25
622 - 2432	 	 	7
3396 - 2433	 	 	20
2184 - 2434	 	 	30
2945 - 2435	 	 	10
3564 - 2436	 	 	37
396 - 2437	 	 	35
3651 - 2438	 	 	3
1187 - 2439	 	 	24
649 - 2440	 	 	20
715 - 2441	 	 	24
1093 - 2442	 	 	18
3844 - 2443	 	 	11
1678 - 2444	 	 	1
519 - 2445	 	 	18
3546 - 2446	 	 	20
2368 - 2447	 	 	17
346 - 2448	 	 	67
4270 - 2449	 	 	15
710 - 2450	 	 	28
4722 - 2451	 	 	1
2161 - 2452	 	 	13
4425 - 2453	 	 	2
363 - 2454	 	 	2
3877 - 2455	 	 	9
2283 - 2456	 	 	8
2541 - 2457	 	 	14
482 - 2458	 	 	2
551 - 2459	 	 	19
4121 - 2460	 	 	16
3753 - 2461	 	 	12
323 - 2462	 	 	27
2691 - 2463	 	 	8
2530 - 2464	 	 	21
4115 - 2465	 	 	3
4443 - 2466	 	 	3
3462 - 2467	 	 	8
1475 - 2468	 	 	1
4973 - 2469	 	 	15
4593 - 2470	 	 	12
3378 - 2471	 	 	10
4945 - 2472	 	 	14
1654 - 2473	 	 	13
3607 - 2474	 	 	18
1069 - 2475	 	 	8
3959 - 2476	 	 	12
1815 - 2477	 	 	2
3763 - 2478	 	 	36
730 - 2479	 	 	5
3932 - 2480	 	 	4
2483 - 2481	 	 	22
1806 - 2482	 	 	16
125 - 2483	 	 	13
3989 - 2484	 	 	15
2875 - 2485	 	 	9
1939 - 2486	 	 	7
1796 - 2487	 	 	17
226 - 2488	 	 	1
1748 - 2489	 	 	16
2359 - 2490	 	 	11
4049 - 2491	 	 	8
3706 - 2492	 	 	16
63 - 2493	 	 	8
4874 - 2494	 	 	19
4856 - 2495	 	 	28
4858 - 2496	 	 	2
1928 - 2497	 	 	7
2847 - 2498	 	 	10
4977 - 2499	 	 	2
2832 - 2500	 	 	2
2208 - 2501	 	 	5
3996 - 2502	 	 	13
3727 - 2503	 	 	4
1457 - 2504	 	 	19
175 - 2505	 	 	10
204 - 2506	 	 	24
4157 - 2507	 	 	16
1874 - 2508	 	 	9
3398 - 2509	 	 	15
1934 - 2510	 	 	12
2510 - 2511	 	 	14
404 - 2512	 	 	17
1112 - 2513	 	 	12
2910 - 2514	 	 	1
2471 - 2515	 	 	34
3110 - 2516	 	 	13
3049 - 2517	 	 	17
4676 - 2518	 	 	38
1846 - 2519	 	 	11
3724 - 2520	 	 	54
4258 - 2521	 	 	12
4732 - 2522	 	 	29
1228 - 2523	 	 	7
4600 - 2524	 	 	1
905 - 2525	 	 	23
3433 - 2526	 	 	22
3487 - 2527	 	 	6
4561 - 2528	 	 	8
4686 - 2529	 	 	7
845 - 2530	 	 	18
1474 - 2531	 	 	33
540 - 2532	 	 	11
2348 - 2533	 	 	17
894 - 2534	 	 	3
3076 - 2535	 	 	25
2348 - 2536	 	 	2
4867 - 2537	 	 	34
4128 - 2538	 	 	16
1759 - 2539	 	 	13
1764 - 2540	 	 	33
544 - 2541	 	 	8
3254 - 2542	 	 	23
4236 - 2543	 	 	37
3630 - 2544	 	 	2
481 - 2545	 	 	9
2892 - 2546	 	 	3
970 - 2547	 	 	19
1646 - 2548	 	 	1
1311 - 2549	 	 	1
967 - 2550	 	 	17
3702 - 2551	 	 	19
4384 - 2552	 	 	4
4563 - 2553	 	 	22
4561 - 2554	 	 	10
1488 - 2555	 	 	14
190 - 2556	 	 	28
1865 - 2557	 	 	34
1555 - 2558	 	 	17
3088 - 2559	 	 	6
4963 - 2560	 	 	27
3089 - 2561	 	 	33
1745 - 2562	 	 	7
2224 - 2563	 	 	1
4913 - 2564	 	 	19
2822 - 2565	 	 	49
1338 - 2566	 	 	73
3897 - 2567	 	 	28
1024 - 2568	 	 	4
3014 - 2569	 	 	23
211 - 2570	 	 	14
3544 - 2571	 	 	16
431 - 2572	 	 	6
64 - 2573	 	 	2
548 - 2574	 	 	22
4183 - 2575	 	 	6
233 - 2576	 	 	10
2755 - 2577	 	 	10
343 - 2578	 	 	15
4951 - 2579	 	 	1
3311 - 2580	 	 	10
1747 - 2581	 	 	24
126 - 2582	 	 	29
3229 - 2583	 	 	21
4106 - 2584	 	 	40
4021 - 2585	 	 	9
4952 - 2586	 	 	18
2020 - 2587	 	 	13
4402 - 2588	 	 	6
651 - 2589	 	 	23
1796 - 2590	 	 	22
879 - 2591	 	 	3
4865 - 2592	 	 	10
2782 - 2593	 	 	11
1058 - 2594	 	 	26
2729 - 2595	 	 	3
1124 - 2596	 	 	12
3965 - 2597	 	 	5
2431 - 2598	 	 	3
4723 - 2599	 	 	23
651 - 2600	 	 	16
800 - 2601	 	 	44
2689 - 2602	 	 	10
3297 - 2603	 	 	12
2477 - 2604	 	 	53
1271 - 2605	 	 	16
836 - 2606	 	 	8
744 - 2607	 	 	13
4714 - 2608	 	 	14
2435 - 2609	 	 	6
4669 - 2610	 	 	4
526 - 2611	 	 	14
3311 - 2612	 	 	31
3236 - 2613	 	 	20
1100 - 2614	 	 	19
450 - 2615	 	 	13
2283 - 2616	 	 	19
2392 - 2617	 	 	31
2246 - 2618	 	 	15
3769 - 2619	 	 	20
2562 - 2620	 	 	20
3487 - 2621	 	 	13
740 - 2622	 	 	39
2027 - 2623	 	 	4
4399 - 2624	 	 	16
3262 - 2625	 	 	7
288 - 2626	 	 	15
215 - 2627	 	 	8
1179 - 2628	 	 	23
893 - 2629	 	 	15
1553 - 2630	 	 	11
2473 - 2631	 	 	5
1210 - 2632	 	 	1
1642 - 2633	 	 	2
1568 - 2634	 	 	43
836 - 2635	 	 	16
817 - 2636	 	 	18
2712 - 2637	 	 	8
2476 - 2638	 	 	8
423 - 2639	 	 	15
179 - 2640	 	 	27
4198 - 2641	 	 	17
3941 - 2642	 	 	1
4800 - 2643	 	 	1
4317 - 2644	 	 	19
2659 - 2645	 	 	9
4421 - 2646	 	 	27
3435 - 2647	 	 	1
1403 - 2648	 	 	8
738 - 2649	 	 	4
4145 - 2650	 	 	38
3082 - 2651	 	 	54
4261 - 2652	 	 	5
147 - 2653	 	 	2
836 - 2654	 	 	19
3583 - 2655	 	 	15
2757 - 2656	 	 	12
2411 - 2657	 	 	20
363 - 2658	 	 	16
2952 - 2659	 	 	11
2018 - 2660	 	 	25
2528 - 2661	 	 	21
805 - 2662	 	 	23
3283 - 2663	 	 	9
2340 - 2664	 	 	1
335 - 2665	 	 	2
1812 - 2666	 	 	9
4175 - 2667	 	 	25
3465 - 2668	 	 	50
4112 - 2669	 	 	23
4068 - 2670	 	 	9
2695 - 2671	 	 	4
4577 - 2672	 	 	14
2555 - 2673	 	 	6
3999 - 2674	 	 	3
2775 - 2675	 	 	26
679 - 2676	 	 	19
1229 - 2677	 	 	9
1315 - 2678	 	 	18
3926 - 2679	 	 	17
978 - 2680	 	 	33
2416 - 2681	 	 	16
901 - 2682	 	 	26
2789 - 2683	 	 	65
4521 - 2684	 	 	32
2555 - 2685	 	 	16
902 - 2686	 	 	18
4289 - 2687	 	 	27
1166 - 2688	 	 	13
1723 - 2689	 	 	5
2715 - 2690	 	 	16
1258 - 2691	 	 	10
1825 - 2692	 	 	2
2743 - 2693	 	 	3
3052 - 2694	 	 	9
3020 - 2695	 	 	4
2560 - 2696	 	 	39
5 - 2697	 	 	11
1136 - 2698	 	 	3
7 - 2699	 	 	5
2432 - 2700	 	 	47
788 - 2701	 	 	36
63 - 2702	 	 	15
3003 - 2703	 	 	13
260 - 2704	 	 	21
4698 - 2705	 	 	36
3795 - 2706	 	 	14
4899 - 2707	 	 	20
3390 - 2708	 	 	12
4089 - 2709	 	 	16
3278 - 2710	 	 	9
1584 - 2711	 	 	12
862 - 2712	 	 	3
3786 - 2713	 	 	15
2600 - 2714	 	 	23
3655 - 2715	 	 	34
1931 - 2716	 	 	12
297 - 2717	 	 	19
2177 - 2718	 	 	10
2845 - 2719	 	 	27
3912 - 2720	 	 	5
691 - 2721	 	 	13
189 - 2722	 	 	14
4983 - 2723	 	 	28
379 - 2724	 	 	13
2204 - 2725	 	 	11
2599 - 2726	 	 	24
1026 - 2727	 	 	2
1103 - 2728	 	 	9
3311 - 2729	 	 	2
87 - 2730	 	 	18
4799 - 2731	 	 	8
924 - 2732	 	 	33
53 - 2733	 	 	23
472 - 2734	 	 	12
1116 - 2735	 	 	4
495 - 2736	 	 	19
70 - 2737	 	 	12
1929 - 2738	 	 	38
3396 - 2739	 	 	18
2271 - 2740	 	 	29
2143 - 2741	 	 	16
3543 - 2742	 	 	20
1400 - 2743	 	 	16
3372 - 2744	 	 	28
4901 - 2745	 	 	18
4827 - 2746	 	 	18
4982 - 2747	 	 	8
2675 - 2748	 	 	50
1888 - 2749	 	 	4
2418 - 2750	 	 	16
2235 - 2751	 	 	6
2359 - 2752	 	 	13
2854 - 2753	 	 	5
1237 - 2754	 	 	14
4332 - 2755	 	 	20
4399 - 2756	 	 	19
2442 - 2757	 	 	1
411 - 2758	 	 	17
2080 - 2759	 	 	29
3623 - 2760	 	 	11
4327 - 2761	 	 	13
3718 - 2762	 	 	20
1230 - 2763	 	 	24
3760 - 2764	 	 	22
3665 - 2765	 	 	1
574 - 2766	 	 	2
656 - 2767	 	 	15
2932 - 2768	 	 	9
3608 - 2769	 	 	11
551 - 2770	 	 	11
4581 - 2771	 	 	30
1312 - 2772	 	 	11
4320 - 2773	 	 	24
2235 - 2774	 	 	18
4598 - 2775	 	 	10
2224 - 2776	 	 	17
3616 - 2777	 	 	3
922 - 2778	 	 	22
891 - 2779	 	 	4
3613 - 2780	 	 	21
2864 - 2781	 	 	13
2283 - 2782	 	 	9
884 - 2783	 	 	3
4135 - 2784	 	 	5
411 - 2785	 	 	22
2823 - 2786	 	 	11
1434 - 2787	 	 	4
2852 - 2788	 	 	10
1342 - 2789	 	 	12
2271 - 2790	 	 	22
4396 - 2791	 	 	20
4156 - 2792	 	 	14
1407 - 2793	 	 	7
4404 - 2794	 	 	4
3583 - 2795	 	 	1
1688 - 2796	 	 	17
2208 - 2797	 	 	6
649 - 2798	 	 	9
2627 - 2799	 	 	42
2243 - 2800	 	 	6
4769 - 2801	 	 	2
3477 - 2802	 	 	45
106 - 2803	 	 	5
3077 - 2804	 	 	14
2900 - 2805	 	 	7
2717 - 2806	 	 	16
1662 - 2807	 	 	1
2028 - 2808	 	 	21
32 - 2809	 	 	15
2112 - 2810	 	 	20
3044 - 2811	 	 	7
2299 - 2812	 	 	9
534 - 2813	 	 	32
2312 - 2814	 	 	13
3378 - 2815	 	 	26
2686 - 2816	 	 	3
1644 - 2817	 	 	4
1875 - 2818	 	 	15
1982 - 2819	 	 	1
2393 - 2820	 	 	2
2366 - 2821	 	 	12
3182 - 2822	 	 	65
2307 - 2823	 	 	31
3649 - 2824	 	 	16
4784 - 2825	 	 	15
3768 - 2826	 	 	16
1825 - 2827	 	 	14
1219 - 2828	 	 	14
4491 - 2829	 	 	9
3923 - 2830	 	 	25
1937 - 2831	 	 	29
984 - 2832	 	 	14
2806 - 2833	 	 	15
3771 - 2834	 	 	20
2859 - 2835	 	 	22
3696 - 2836	 	 	22
25 - 2837	 	 	27
2176 - 2838	 	 	6
617 - 2839	 	 	25
949 - 2840	 	 	3
4374 - 2841	 	 	19
2632 - 2842	 	 	18
4227 - 2843	 	 	10
2479 - 2844	 	 	5
1118 - 2845	 	 	29
1045 - 2846	 	 	4
538 - 2847	 	 	11
3026 - 2848	 	 	11
3238 - 2849	 	 	7
1756 - 2850	 	 	23
3088 - 2851	 	 	4
2743 - 2852	 	 	16
2841 - 2853	 	 	10
1205 - 2854	 	 	19
455 - 2855	 	 	13
2170 - 2856	 	 	3
1626 - 2857	 	 	33
4176 - 2858	 	 	6
2991 - 2859	 	 	29
3660 - 2860	 	 	9
2860 - 2861	 	 	2
4470 - 2862	 	 	27
1374 - 2863	 	 	31
836 - 2864	 	 	2
2167 - 2865	 	 	14
2442 - 2866	 	 	4
4071 - 2867	 	 	12
1563 - 2868	 	 	10
1884 - 2869	 	 	21
3762 - 2870	 	 	47
2209 - 2871	 	 	35
2588 - 2872	 	 	3
2428 - 2873	 	 	15
2886 - 2874	 	 	22
3806 - 2875	 	 	11
538 - 2876	 	 	15
2408 - 2877	 	 	11
2193 - 2878	 	 	10
2588 - 2879	 	 	14
4816 - 2880	 	 	4
1008 - 2881	 	 	16
3829 - 2882	 	 	16
304 - 2883	 	 	23
345 - 2884	 	 	26
269 - 2885	 	 	13
3525 - 2886	 	 	15
2989 - 2887	 	 	12
4691 - 2888	 	 	38
2787 - 2889	 	 	6
278 - 2890	 	 	22
4949 - 2891	 	 	9
3027 - 2892	 	 	16
1235 - 2893	 	 	12
2625 - 2894	 	 	14
4848 - 2895	 	 	24
4233 - 2896	 	 	20
3680 - 2897	 	 	12
4649 - 2898	 	 	23
3056 - 2899	 	 	55
121 - 2900	 	 	8
879 - 2901	 	 	55
3497 - 2902	 	 	16
3620 - 2903	 	 	58
4840 - 2904	 	 	28
1075 - 2905	 	 	3
1117 - 2906	 	 	21
3023 - 2907	 	 	16
2658 - 2908	 	 	17
1954 - 2909	 	 	68
3187 - 2910	 	 	4
4282 - 2911	 	 	3
2812 - 2912	 	 	31
3339 - 2913	 	 	24
507 - 2914	 	 	9
4163 - 2915	 	 	13
744 - 2916	 	 	11
2135 - 2917	 	 	12
4363 - 2918	 	 	33
2587 - 2919	 	 	14
4366 - 2920	 	 	22
4509 - 2921	 	 	25
3924 - 2922	 	 	14
3769 - 2923	 	 	4
3414 - 2924	 	 	17
164 - 2925	 	 	26
4271 - 2926	 	 	12
4956 - 2927	 	 	23
4889 - 2928	 	 	32
3146 - 2929	 	 	21
399 - 2930	 	 	22
3017 - 2931	 	 	1
4172 - 2932	 	 	8
2861 - 2933	 	 	22
4932 - 2934	 	 	12
100 - 2935	 	 	7
830 - 2936	 	 	6
1126 - 2937	 	 	4
845 - 2938	 	 	16
1987 - 2939	 	 	1
107 - 2940	 	 	4
4966 - 2941	 	 	17
139 - 2942	 	 	7
3014 - 2943	 	 	24
858 - 2944	 	 	22
4741 - 2945	 	 	10
4217 - 2946	 	 	12
761 - 2947	 	 	21
460 - 2948	 	 	7
13 - 2949	 	 	22
3683 - 2950	 	 	16
3193 - 2951	 	 	17
3149 - 2952	 	 	15
685 - 2953	 	 	21
2435 - 2954	 	 	9
983 - 2955	 	 	9
49 - 2956	 	 	7
502 - 2957	 	 	10
346 - 2958	 	 	30
1749 - 2959	 	 	4
3009 - 2960	 	 	43
2046 - 2961	 	 	28
3535 - 2962	 	 	3
824 - 2963	 	 	4
1034 - 2964	 	 	5
2938 - 2965	 	 	26
334 - 2966	 	 	54
2574 - 2967	 	 	19
1055 - 2968	 	 	17
2349 - 2969	 	 	17
2245 - 2970	 	 	11
754 - 2971	 	 	12
613 - 2972	 	 	2
1074 - 2973	 	 	25
3902 - 2974	 	 	30
4729 - 2975	 	 	44
1898 - 2976	 	 	6
1392 - 2977	 	 	2
4882 - 2978	 	 	18
554 - 2979	 	 	17
1211 - 2980	 	 	17
3769 - 2981	 	 	24
3565 - 2982	 	 	8
2309 - 2983	 	 	1
4115 - 2984	 	 	6
3577 - 2985	 	 	10
3011 - 2986	 	 	5
3639 - 2987	 	 	2
1336 - 2988	 	 	2
1846 - 2989	 	 	13
4910 - 2990	 	 	5
71 - 2991	 	 	3
1024 - 2992	 	 	38
2672 - 2993	 	 	39
2449 - 2994	 	 	18
2753 - 2995	 	 	16
4725 - 2996	 	 	68
1352 - 2997	 	 	16
2235 - 2998	 	 	4
1675 - 2999	 	 	34
3904 - 3000	 	 	27
4781 - 3001	 	 	3
3961 - 3002	 	 	14
1122 - 3003	 	 	4
2577 - 3004	 	 	4
4560 - 3005	 	 	19
4870 - 3006	 	 	7
3981 - 3007	 	 	14
2325 - 3008	 	 	15
4053 - 3009	 	 	20
534 - 3010	 	 	3
757 - 3011	 	 	7
3901 - 3012	 	 	11
3055 - 3013	 	 	14
2977 - 3014	 	 	5
2918 - 3015	 	 	9
3239 - 3016	 	 	9
1088 - 3017	 	 	11
4848 - 3018	 	 	16
4485 - 3019	 	 	1
862 - 3020	 	 	11
3430 - 3021	 	 	4
4705 - 3022	 	 	11
3917 - 3023	 	 	13
1427 - 3024	 	 	22
3958 - 3025	 	 	24
3425 - 3026	 	 	5
1772 - 3027	 	 	1
4036 - 3028	 	 	2
4195 - 3029	 	 	34
757 - 3030	 	 	28
3600 - 3031	 	 	20
2444 - 3032	 	 	26
3384 - 3033	 	 	8
2707 - 3034	 	 	3
989 - 3035	 	 	13
2519 - 3036	 	 	11
278 - 3037	 	 	6
3630 - 3038	 	 	21
4076 - 3039	 	 	38
582 - 3040	 	 	10
2212 - 3041	 	 	29
4880 - 3042	 	 	14
3657 - 3043	 	 	37
3328 - 3044	 	 	1
2142 - 3045	 	 	8
2571 - 3046	 	 	16
3012 - 3047	 	 	12
1080 - 3048	 	 	23
4245 - 3049	 	 	18
2149 - 3050	 	 	16
4069 - 3051	 	 	8
3033 - 3052	 	 	7
834 - 3053	 	 	14
3288 - 3054	 	 	18
522 - 3055	 	 	22
3798 - 3056	 	 	14
69 - 3057	 	 	18
3905 - 3058	 	 	5
428 - 3059	 	 	8
3294 - 3060	 	 	6
2612 - 3061	 	 	4
2803 - 3062	 	 	24
1187 - 3063	 	 	19
1230 - 3064	 	 	21
4340 - 3065	 	 	17
4983 - 3066	 	 	12
85 - 3067	 	 	10
4881 - 3068	 	 	19
1263 - 3069	 	 	18
1305 - 3070	 	 	22
2908 - 3071	 	 	26
2124 - 3072	 	 	12
554 - 3073	 	 	11
3836 - 3074	 	 	28
2958 - 3075	 	 	31
2828 - 3076	 	 	6
680 - 3077	 	 	5
1245 - 3078	 	 	2
2517 - 3079	 	 	28
4437 - 3080	 	 	48
2803 - 3081	 	 	11
17 - 3082	 	 	6
1115 - 3083	 	 	36
788 - 3084	 	 	26
1692 - 3085	 	 	34
592 - 3086	 	 	5
1815 - 3087	 	 	20
1375 - 3088	 	 	16
3214 - 3089	 	 	14
2678 - 3090	 	 	4
1726 - 3091	 	 	23
1055 - 3092	 	 	26
4720 - 3093	 	 	8
1110 - 3094	 	 	8
2828 - 3095	 	 	21
924 - 3096	 	 	4
2383 - 3097	 	 	17
4512 - 3098	 	 	6
3405 - 3099	 	 	45
4100 - 3100	 	 	15
3958 - 3101	 	 	11
4878 - 3102	 	 	24
2071 - 3103	 	 	8
1114 - 3104	 	 	31
4501 - 3105	 	 	25
4344 - 3106	 	 	12
3484 - 3107	 	 	28
687 - 3108	 	 	22
633 - 3109	 	 	28
